VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-01-10 16:01:37,2019-01-10 16:10:51,N,1,126,167,1,1.26,7.5,1,0.5,0,0,,0.3,9.3,1,1,
2,2019-01-10 16:49:40,2019-01-10 17:10:10,N,1,242,32,1,2.82,14.5,1,0.5,0,0,,0.3,16.3,1,1,
2,2019-01-10 15:17:54,2019-01-11 14:42:37,N,5,243,169,1,2.68,12,0,0,0,0,,0,12,2,2,
1,2019-01-10 16:02:16,2019-01-10 16:13:58,N,1,42,41,4,1.40,9.5,1,0.5,0,0,,0.3,11.3,2,1,
1,2019-01-10 16:18:49,2019-01-10 16:24:14,N,1,166,116,1,1.00,5.5,1,0.5,0,0,,0.3,7.3,2,1,
1,2019-01-10 16:34:21,2019-01-10 16:49:43,N,1,244,43,1,5.90,18.5,1,0.5,0,0,,0.3,20.3,2,1,
2,2019-01-10 16:19:59,2019-01-10 16:23:38,N,1,42,42,1,.53,4.5,1,0.5,0,0,,0.3,6.3,2,1,
2,2019-01-10 16:27:08,2019-01-10 16:43:14,N,1,42,74,1,1.62,11,1,0.5,2.56,0,,0.3,15.36,1,1,
2,2019-01-10 16:55:12,2019-01-10 17:02:02,N,1,74,41,1,.56,6,1,0.5,0,0,,0.3,7.8,2,1,
2,2019-01-10 16:03:27,2019-01-10 16:49:38,N,1,173,139,1,9.74,34.5,1,0.5,0,0,,0.3,36.3,2,1,
2,2019-01-10 16:14:07,2019-01-10 16:28:03,N,1,177,62,1,1.69,10.5,1,0.5,0,0,,0.3,12.3,1,1,
2,2019-01-10 16:45:12,2019-01-10 16:46:51,N,1,49,49,1,.17,3,1,0.5,0,0,,0.3,4.8,2,1,
2,2019-01-10 16:47:27,2019-01-10 17:00:00,N,1,49,217,1,1.74,10,1,0.5,0,0,,0.3,11.8,2,1,
2,2019-01-10 16:08:24,2019-01-10 16:40:33,N,1,75,243,1,5.13,22.5,1,0.5,4.86,0,,0.3,29.16,1,1,
2,2019-01-10 16:56:07,2019-01-10 17:06:01,N,1,42,41,1,1.46,8,1,0.5,0,0,,0.3,9.8,2,1,
2,2019-01-10 16:07:46,2019-01-10 16:44:04,N,5,20,41,1,6.14,24.04,0,0.5,0,0,,0,24.54,1,2,
2,2019-01-10 16:42:11,2019-01-10 16:59:40,N,1,41,143,1,2.98,13.5,1,0.5,3.06,0,,0.3,18.36,1,1,
2,2019-01-10 16:35:10,2019-01-10 16:56:32,N,1,242,174,1,4.45,18,1,0.5,0,0,,0.3,19.8,1,1,
2,2019-01-10 16:20:59,2019-01-10 16:24:51,N,1,223,223,1,.69,5,1,0.5,1.36,0,,0.3,8.16,1,1,
2,2019-01-10 16:31:20,2019-01-10 16:45:01,N,1,75,42,1,2.16,10.5,1,0.5,0,0,,0.3,12.3,2,1,
2,2019-01-10 16:01:32,2019-01-10 16:13:00,N,1,95,121,1,2.70,11.5,1,0.5,2.66,0,,0.3,15.96,1,1,
1,2019-01-10 16:42:39,2019-01-10 17:10:35,N,1,42,68,1,7.10,26,1,0.5,2.2,0,,0.3,30,1,1,
2,2019-01-10 16:14:58,2019-01-10 16:25:35,N,1,42,152,1,1.25,8.5,1,0.5,0,0,,0.3,10.3,2,1,
2,2019-01-10 16:31:29,2019-01-10 16:39:41,N,1,74,75,1,1.18,7,1,0.5,0,0,,0.3,8.8,2,1,
2,2019-01-10 16:47:40,2019-01-10 16:58:32,N,1,74,42,1,1.10,8.5,1,0.5,0,0,,0.3,10.3,2,1,
1,2019-01-10 16:14:44,2019-01-10 17:20:33,N,1,157,26,1,12.70,46.5,1,0.5,0,0,,0.3,48.3,1,1,
2,2019-01-10 16:10:37,2019-01-10 16:12:39,N,1,166,151,1,.37,3.5,1,0.5,0,0,,0.3,5.3,2,1,
2,2019-01-10 16:19:05,2019-01-10 16:24:34,N,1,166,151,1,1.04,6,1,0.5,1.56,0,,0.3,9.36,1,1,
2,2019-01-10 17:00:09,2019-01-10 17:04:26,N,1,43,236,1,1.02,5.5,1,0.5,1.46,0,,0.3,8.76,1,1,
2,2019-01-10 16:27:34,2019-01-10 16:33:34,N,1,95,95,5,.92,6,1,0.5,0,0,,0.3,7.8,2,1,
1,2019-01-10 16:07:12,2019-01-10 16:09:37,N,1,52,52,1,.10,3.5,1,0.5,0,0,,0.3,5.3,2,1,
2,2019-01-10 16:04:37,2019-01-10 16:37:26,N,5,242,82,1,12.76,30.26,0,0.5,0,5.76,,0,36.52,1,2,
2,2019-01-10 16:09:07,2019-01-10 16:18:53,N,5,74,42,1,1.84,9,0,0,0,0,,0,9,2,2,
2,2019-01-10 16:24:13,2019-01-10 16:30:00,N,1,42,41,1,1.03,6,1,0.5,1.95,0,,0.3,9.75,1,1,
2,2019-01-10 16:33:33,2019-01-10 16:42:15,N,1,41,75,1,1.88,8.5,1,0.5,0,0,,0.3,10.3,2,1,
2,2019-01-10 16:04:18,2019-01-10 16:21:27,N,1,43,141,1,2.12,12,1,0.5,0,0,,0.3,13.8,2,1,
2,2019-01-10 16:31:22,2019-01-10 16:38:47,N,1,75,238,6,1.37,7.5,1,0.5,0,0,,0.3,9.3,2,1,
2,2019-01-10 16:52:35,2019-01-10 17:06:31,N,1,75,152,6,2.91,12,1,0.5,2.8,0,,0.3,16.6,1,1,
2,2019-01-10 16:05:51,2019-01-10 16:19:03,N,1,121,122,1,3.05,11.5,1,0.5,0,0,,0.3,13.3,1,1,
2,2019-01-10 16:21:35,2019-01-10 16:33:03,N,1,62,181,1,1.20,9,1,0.5,0,0,,0.3,10.8,1,1,
2,2019-01-10 16:30:20,2019-01-10 16:35:37,N,1,97,97,1,.95,5.5,1,0.5,0,0,,0.3,7.3,2,1,
2,2019-01-10 16:53:12,2019-01-10 17:06:56,N,1,66,40,1,2.00,10,1,0.5,2.95,0,,0.3,14.75,1,1,
2,2019-01-10 16:16:38,2019-01-10 16:26:36,N,1,95,95,1,.67,7.5,1,0.5,0,0,,0.3,9.3,2,1,
2,2019-01-10 16:06:25,2019-01-10 16:18:24,N,1,74,75,1,1.28,9,1,0.5,0,0,,0.3,10.8,1,1,
2,2019-01-10 16:21:05,2019-01-10 16:35:46,N,1,75,41,1,1.91,9.5,1,0.5,0,0,,0.3,11.3,2,1,
2,2019-01-10 16:48:15,2019-01-10 17:09:53,N,1,42,41,1,2.65,13.5,1,0.5,0,0,,0.3,15.3,2,1,
2,2019-01-10 16:56:28,2019-01-10 17:10:29,N,1,75,41,1,1.68,9.5,1,0.5,0,0,,0.3,11.3,2,1,
2,2019-01-10 16:21:10,2019-01-10 16:38:37,N,1,152,43,1,2.37,12.5,1,0.5,0,0,,0.3,14.3,2,1,
1,2019-01-10 16:10:54,2019-01-10 16:53:07,N,1,181,35,2,5.10,27,1,0.5,0,0,,0.3,28.8,1,1,
2,2019-01-10 16:02:00,2019-01-10 16:36:54,N,5,166,183,1,10.07,33.08,0,0.5,0,0,,0,33.58,1,2,
2,2019-01-10 16:03:05,2019-01-10 16:22:09,N,5,94,213,1,5.01,16.62,0,0.5,0,0,,0,17.12,1,2,
2,2019-01-10 16:34:50,2019-01-10 16:47:11,N,1,74,74,1,1.57,9,1,0.5,0,0,,0.3,10.8,1,1,
1,2019-01-10 16:05:50,2019-01-10 16:15:38,N,1,75,75,1,.80,7.5,1,0.5,0,0,,0.3,9.3,2,1,
1,2019-01-10 16:56:04,2019-01-10 16:57:12,N,1,75,75,1,.80,3,1,0.5,0,0,,0.3,4.8,3,1,
2,2019-01-10 16:34:11,2019-01-10 16:51:28,N,1,65,234,1,3.75,14.5,1,0.5,4.08,0,,0.3,20.38,1,1,
2,2019-01-10 16:04:55,2019-01-10 16:27:11,N,1,74,239,1,2.89,15.5,1,0.5,0,0,,0.3,17.3,2,1,
2,2019-01-10 16:49:13,2019-01-10 16:59:46,N,1,41,116,1,1.62,9,1,0.5,2.16,0,,0.3,12.96,1,1,
2,2019-01-10 16:55:40,2019-01-10 17:01:09,N,1,75,75,1,.60,5.5,1,0.5,0,0,,0.3,7.3,2,1,
2,2019-01-10 16:07:31,2019-01-10 16:12:15,N,1,41,41,1,.64,5,1,0.5,0,0,,0.3,6.8,2,1,
2,2019-01-10 16:27:47,2019-01-10 16:34:40,N,1,43,75,1,.81,6,1,0.5,1.95,0,,0.3,9.75,1,1,
2,2019-01-10 16:59:06,2019-01-10 17:39:36,N,1,74,159,1,2.86,24.5,1,0.5,0,0,,0.3,26.3,1,1,
2,2019-01-10 16:14:17,2019-01-10 16:14:22,N,1,41,41,1,.03,2.5,1,0.5,0,0,,0.3,4.3,2,1,
2,2019-01-10 16:47:00,2019-01-10 17:17:56,N,1,244,141,1,6.77,24.5,1,0.5,1.32,0,,0.3,27.62,1,1,
2,2019-01-10 16:52:39,2019-01-10 16:54:01,N,1,193,7,1,.00,0,0,0,0,0,,0,0,1,1,
2,2019-01-10 17:54:48,2019-01-10 17:55:22,N,1,193,193,1,.00,2.5,1,0.5,0.86,0,,0.3,5.16,1,1,
2,2019-01-10 17:49:37,2019-01-10 17:49:39,N,1,264,193,1,.00,2.5,1,0.5,1.29,0,,0.3,5.59,1,1,
2,2019-01-10 17:16:09,2019-01-10 17:16:59,N,1,193,193,1,.00,2.5,1,0.5,0.01,0,,0.3,4.31,1,1,
2,2019-01-10 17:38:32,2019-01-10 17:39:33,N,1,193,193,1,.00,3,1,0.5,0.02,0,,0.3,4.82,1,1,
1,2019-01-10 17:00:23,2019-01-10 17:07:04,N,1,74,166,1,1.30,7,1,0.5,0,0,,0.3,8.8,2,1,
2,2019-01-10 17:27:20,2019-01-10 17:44:29,N,1,226,173,1,3.44,13.5,1,0.5,0,0,,0.3,15.3,2,1,
2,2019-01-10 18:01:02,2019-01-10 18:14:13,N,1,92,173,1,3.58,12,1,0.5,0,0,,0.3,13.8,2,1,
2,2019-01-10 17:12:04,2019-01-10 17:40:50,N,1,193,90,1,4.73,21,1,0.5,5.71,5.76,,0.3,34.27,1,1,
2,2019-01-10 17:14:07,2019-01-10 17:14:11,N,1,193,7,1,.00,-2.5,-1,-0.5,0,0,,-0.3,-4.3,3,1,
2,2019-01-10 17:14:07,2019-01-10 17:14:11,N,1,193,7,1,.00,2.5,1,0.5,0,0,,0.3,4.3,2,1,
2,2019-01-10 17:20:17,2019-01-10 17:20:37,N,1,193,193,1,.00,2.5,1,0.5,0.86,0,,0.3,7.11,1,1,
2,2019-01-10 17:05:39,2019-01-10 17:13:13,N,1,74,42,2,1.13,7,1,0.5,2.64,0,,0.3,11.44,1,1,
2,2019-01-10 17:28:12,2019-01-10 17:37:15,N,1,41,74,2,1.22,7.5,1,0.5,0,0,,0.3,9.3,2,1,
2,2019-01-10 17:40:20,2019-01-10 17:45:26,N,1,42,74,2,.96,5.5,1,0.5,1.46,0,,0.3,8.76,1,1,
2,2019-01-10 17:53:59,2019-01-10 17:58:48,N,1,74,41,2,.76,5,1,0.5,0,0,,0.3,6.8,2,1,
1,2019-01-10 17:26:16,2019-01-10 17:38:35,N,1,75,75,1,.60,8.5,1,0.5,2.05,0,,0.3,12.35,1,1,
1,2019-01-10 17:53:25,2019-01-10 17:59:32,N,1,75,236,1,.70,6,1,0.5,1.55,0,,0.3,9.35,1,1,
2,2019-01-10 17:34:09,2019-01-10 17:51:32,N,1,33,256,1,2.74,13.5,1,0.5,0,0,,0.3,15.3,2,1,
2,2019-01-10 17:13:26,2019-01-10 17:19:04,N,1,236,238,1,.96,6,1,0.5,0.39,0,,0.3,8.19,1,1,
2,2019-01-10 17:41:31,2019-01-10 18:08:38,N,1,75,142,1,2.96,18,1,0.5,2.97,0,,0.3,22.77,1,1,
2,2019-01-10 17:44:43,2019-01-10 17:50:57,N,1,223,223,1,1.55,7,1,0.5,2.64,0,,0.3,11.44,1,1,
2,2019-01-10 17:25:44,2019-01-10 17:29:55,N,1,134,134,5,.74,5,1,0.5,0,0,,0.3,6.8,2,1,
2,2019-01-10 17:41:16,2019-01-10 17:55:43,N,1,134,216,5,3.27,12.5,1,0.5,2.86,0,,0.3,17.16,1,1,
2,2019-01-10 17:06:33,2019-01-10 17:29:57,N,1,82,93,1,3.50,16.5,1,0.5,0,0,,0.3,18.3,2,1,
2,2019-01-10 17:25:41,2019-01-10 17:40:47,N,1,75,166,1,2.41,12,1,0.5,2.76,0,,0.3,16.56,1,1,
2,2019-01-10 17:48:38,2019-01-10 17:59:58,N,1,92,192,1,1.67,9,1,0.5,0,0,,0.3,10.8,2,1,
1,2019-01-10 17:19:45,2019-01-10 17:28:13,N,1,7,129,1,1.40,7.5,1,0.5,0,0,,0.3,9.3,2,1,
1,2019-01-10 17:32:08,2019-01-10 17:47:22,N,1,75,142,1,2.30,12,1,0.5,2,0,,0.3,15.8,1,1,
2,2019-01-10 17:05:28,2019-01-10 18:27:09,N,5,35,142,1,13.38,44.04,0,0.5,0,0,,0,44.54,1,2,
2,2019-01-10 17:23:01,2019-01-10 17:38:50,N,1,65,33,2,1.48,11,1,0.5,3.2,0,,0.3,16,1,1,
2,2019-01-10 17:43:23,2019-01-10 17:47:15,N,1,52,40,2,.86,5,1,0.5,1.36,0,,0.3,8.16,1,1,
2,2019-01-10 17:15:36,2019-01-10 17:28:55,N,1,74,74,2,1.55,10,1,0.5,0,0,,0.3,11.8,1,1,
2,2019-01-10 17:42:36,2019-01-10 18:17:36,N,1,42,183,2,9.07,31,1,0.5,0,0,,0.3,32.8,1,1,
2,2019-01-10 17:16:49,2019-01-10 17:45:11,N,1,218,191,1,5.31,21.5,1,0.5,0,0,,0.3,23.3,1,1,
2,2019-01-10 17:20:52,2019-01-10 17:38:53,N,1,244,116,1,1.26,12,1,0.5,2.76,0,,0.3,16.56,1,1,
2,2019-01-10 17:47:29,2019-01-10 17:57:57,N,1,244,42,1,4.17,14,1,0.5,3.16,0,,0.3,18.96,1,1,
2,2019-01-10 17:36:29,2019-01-10 17:44:48,N,1,75,42,1,1.48,7.5,1,0.5,0,0,,0.3,9.3,2,1,
2,2019-01-10 17:17:13,2019-01-10 17:26:07,N,1,223,138,1,2.88,11,1,0.5,0,0,,0.3,12.8,2,1,
2,2019-01-10 17:35:33,2019-01-10 17:48:13,N,1,179,138,1,3.01,13,1,0.5,1.5,0,,0.3,16.3,1,1,
2,2019-01-10 17:27:34,2019-01-10 17:51:19,N,1,255,49,1,2.70,15.5,1,0.5,3.46,0,,0.3,20.76,1,1,
1,2019-01-10 17:13:29,2019-01-10 17:28:13,N,1,195,66,2,2.80,12,1,0.5,0,0,,0.3,13.8,2,1,
1,2019-01-10 17:58:30,2019-01-10 18:19:25,N,1,52,49,1,2.20,14.5,1,0.5,3.25,0,,0.3,19.55,1,1,
2,2019-01-10 17:08:59,2019-01-10 17:09:03,N,5,168,168,1,.00,2.75,0,0,5,0,,0,7.75,1,2,
2,2019-01-10 17:11:42,2019-01-10 17:23:35,N,1,41,238,1,2.04,10,1,0.5,2.36,0,,0.3,14.16,1,1,
2,2019-01-10 17:39:34,2019-01-10 18:44:16,N,1,75,216,1,13.20,48,1,0.5,0,0,,0.3,49.8,2,1,
2,2019-01-10 17:34:58,2019-01-10 17:54:27,N,5,167,212,1,3.84,15.67,0,0.5,0,0,,0,16.17,1,2,
2,2019-01-10 17:28:04,2019-01-10 17:54:38,N,1,247,220,1,4.53,20,1,0.5,0,0,,0.3,21.8,1,1,
2,2019-01-10 17:27:33,2019-01-10 17:39:22,N,1,166,74,1,1.55,9.5,1,0.5,0,0,,0.3,11.3,2,1,
2,2019-01-10 17:45:01,2019-01-10 17:55:05,N,1,74,166,1,1.27,8,1,0.5,0,0,,0.3,9.8,2,1,
2,2019-01-10 18:02:06,2019-01-10 18:19:40,N,1,43,237,1,2.02,12.5,1,0.5,0,0,,0.3,14.3,2,1,
2,2019-01-10 17:20:58,2019-01-10 18:17:54,N,1,97,213,1,15.56,48,1,0.5,0,5.76,,0.3,55.56,1,1,
2,2019-01-10 17:29:57,2019-01-10 17:52:31,N,1,89,188,1,2.08,14.5,1,0.5,0,0,,0.3,16.3,1,1,
2,2019-01-10 17:16:46,2019-01-10 17:51:31,N,1,97,89,1,5.31,24,1,0.5,0,0,,0.3,25.8,2,1,
2,2019-01-10 17:31:19,2019-01-10 17:45:35,N,1,260,7,2,1.92,10.5,1,0.5,1,0,,0.3,13.3,1,1,
2,2019-01-10 17:51:26,2019-01-10 18:07:26,N,1,181,14,1,3.69,14.5,1,0.5,3.26,0,,0.3,19.56,1,1,
1,2019-01-10 17:25:52,2019-01-10 17:25:52,Y,1,95,264,1,.00,3.5,1,0.5,0,0,,0.3,5.3,2,1,
1,2019-01-10 17:47:48,2019-01-10 17:56:34,N,1,196,160,1,1.10,7.5,1,0.5,0,0,,0.3,9.3,2,1,
2,2019-01-10 17:36:05,2019-01-10 17:41:27,N,1,75,236,1,.71,5.5,1,0.5,1.82,0,,0.3,9.12,1,1,
2,2019-01-10 17:51:35,2019-01-10 18:09:31,N,1,43,142,1,2.73,13,1,0.5,2,0,,0.3,16.8,1,1,
2,2019-01-10 17:23:16,2019-01-10 17:29:28,N,1,152,151,1,1.37,7,1,0.5,1.76,0,,0.3,10.56,1,1,
2,2019-01-10 17:42:54,2019-01-10 17:45:38,N,1,116,244,1,.59,4,1,0.5,0,0,,0.3,5.8,1,1,
2,2019-01-10 17:06:27,2019-01-10 18:16:08,N,5,75,225,1,11.27,41.15,0,0.5,0,0,,0,41.65,1,2,
1,2019-01-10 17:28:49,2019-01-10 17:38:55,N,1,226,7,2,1.60,8,1,0.5,0,0,,0.3,9.8,2,1,
2,2019-01-10 17:07:36,2019-01-10 17:17:12,N,1,7,260,1,1.11,7.5,1,0.5,1.86,0,,0.3,11.16,1,1,
